Text;Category
Евросоюз готовится ввести против России самые жесткие санкции с 2022 года, заявил глава МИД Франции Жан-Ноэль Барро. Очередной пакет мер призван «истощить» ресурсы России и помешать ей вести военную операцию, добавил министр. Меры затронут нефтяные доходы, «финансовых игроков» из России и других стран. Санкции введут по предложению Парижа, отметил он, таким образом ЕС намерен побудить Москву согласиться на прекращение огня.;Новости и политика
Парень в костюме Оптимуса Прайма пришёл на концерт Linkin Park, и во время песни What I've Done его на руках пронесла толпа. Мемы про титры «Трансформеров» вышли на новый уровень.;Развлечения
Овечкин побил «вечный рекорд» Гретцки, забив 895-ю шайбу в матче с «Нью-Йорк Айлендерс», и установил исторический рекорд в НХЛ, став лучшим снайпером всех времён;Спорт
Московские врачи прооперировали пациента с гигантской липосаркомой, которая была признана неоперабельной. В Научно-клинический центр ФГБНУ «РНЦХ им. акад. Б.В. Петровского» поступил мужчина с гигантской липосаркомой средостения с врастанием в пищевод. Заболевание началось с появления одышки при физической нагрузке, которая затем стала проявляться и в покое. После обследования была диагностирована липосаркома средостения. Подробнее о случае рассказал заведующий отделением торакальной хирургии и онкологии РНЦХ им. акад. Б.В. Петровского, д.м.н. Дмитрий Базаров: «В медицинской литературе описано очень мало подобных случаев. Были проведены несколько курсов химиотерапии, которые не привели к уменьшению опухоли, а состояние больного быстро ухудшалось. Единственный шанс в данном случае — это хирургия. Операция представлялась весьма рискованной ввиду высокой вероятности развития тяжелых и даже фатальных послеоперационных осложнений».;Здоровье
В Британии замечен рост популярности русского языка среди абитуриентов. Об этом говорят данные Министерства образования Великобритании, с которыми ознакомился ТАСС. Число британских школьников, выбирающих русский язык для сдачи на экзаменах, выросло на 47% за три года, несмотря на враждебный курс правительства страны по отношению к РФ.;Образование
Новая схема мошенничества - создание поддельных аккаунтов известных личностей. Например, недавно в Telegram появился фальшивый профиль, имитирующий страницу губернатора Воронежской области Александра Гусева. Злоумышленники преследуют несколько целей: распространение фейков, финансовые махинации, а также взлом и фишинг. Проверить подлинность страницы можно по нескольким признакам: количество подписчиков, а также ссылки на другие соцсети. Доверяйте только официальным источникам и не поддавайтесь на провокации!;Другое
Военный суд приговорил экс-замглавы Генштаба ВС РФ Арсланова к 17 годам колонии за взятку и мошенничество — ТАСС. Следствие считает, что обвиняемые вместе с неустановленными лицами заключали госконтракты с компанией «Воентелеком» на поставку спутникового оборудования и центров мониторинга по завышенной стоимости, похитив при этом 1,6 млрд рублей. Всего же причастен к хищению 6.7 млрд рублей. Кроме того, Арсланов подозревается в махинациях при поставках радиостанций Р-187-П1 «Азарт» в ВС России.;Новости и политика
Bring Me The Horizon приняли решение разойтись с Джорданом Фишем. «Bring Me The Horizon решили расстаться с Джорданом Фишем. Мы хотим поблагодарить его за музыкальное путешествие, которое он прошел с нами, и пожелать ему удачи во всем в будущем. Тем временем мы продолжаем работать над Nex Gen, и совсем скоро выйдет новая музыка. Увидимся в нашем туре по Великобритании в январе». — BMTH;Развлечения
В CS2-составе Team Spirit произошли изменения: российский игрок Иван zweih Гогин официально стал новым участником команды. 17-летний киберспортсмен занял место Бориса magixx Воробьёва, которого перевели в запас. Для zweih переход в Spirit стал шагом вперёд в его карьере: до этого он представлял Nemiga Gaming, а также выступал за VaselineWorms, POLET и HOTU Academy. По данным статистики за последние три месяца, рейтинг игрока составляет 1.16. Несмотря на возраст, Иван Гогин успел проявить себя на тир-1/тир-2 сцене. Особенно он запомнился в составе Nemiga Gaming, за который играл с июня 2024 года.;Спорт
Первая помощь: руководство по спасению жизни. Время — главный фактор в критической ситуации. Независимо от возраста и опыта, каждый человек может оказаться в ситуации, когда от его действий будет зависеть чья-то жизнь. Умение оказать первую помощь — это не просто навык, а ответственность перед обществом и самим собой. Представляем вашему вниманию брошюру «Первая помощь» - универсальное руководство для детей и взрослых, которое содержит базовые, но жизненно важные правила. Знание — сила, а умение применять его — спасение. Освойте базовые навыки оказания первой помощи и научите им своих близких.;Здоровье
Ректор МФТИ пойдёт сдавать ЕГЭ по физике! Дмитрий Ливанов и более 20 сотрудников Московского физико-технического института (национального исследовательского университета) решили проверить свои силы на экзамене, чтобы лично оценить уровень задач, которые решают школьники. Причём готовиться к ЕГЭ они не собираются — сдавать будут с места в карьер. Ректор уверен, что физика должна стать обязательным экзаменом для поступающих на инженерные специальности. «Физика — это основа всех новых технологий. Её изучение даёт огромные возможности для карьеры в высокотехнологичных отраслях», — отметил Дмитрий Ливанов.;Образование
"Сын актера Вадима Демчога (Купитман из Интернов) приговорен к двум годам лишения свободы за дропперство. Мошенники уговорили 82-летнего мужчину перевести деньги на ""безопасные счета"". Вильям Демчог обналичил и отправил соучастникам 490 тыс. рублей. Свою вину он признал и возместил ущерб. Общая сумма ущерба превысила 1,8 млн рублей.";Другое
Власти швейцарского города Поррантрюи, который находится рядом с границей Франции, запретили гражданам Франции посещать городские бассейны. Это решение приняли после жалоб на грубое поведение, домогательства и ругань со стороны «французской молодёжи». Правда эта «молодежь» - поголовно мигранты.;Новости и политика
"Тамбовский музыкант получил двойную платину в США и пишет трек с MOBY
19-летний Дмитрий ?neheart (Волынкин) из Кирсанова готовит коллаборацию с легендой электронной музыки MOBY. Его трек Snowfall собрал уже 300 миллионов прослушиваний и принес парню двойную платину от Американской ассоциации звукозаписывающих компаний (RIAA), сообщает тг-канал Mash/
Недавно музыкант сдал сессию в юридическом вузе в Саратове и уехал в Париж — именно там и узнал о своей награде.
В августе ?neheart выпускает семейный альбом, который записывает вместе с отцом и музыкантом Dean Korso.";Развлечения
Месси не поедет к Роналду. На днях в прессе появилась информация о том, что подписать Лионеля Месси хочет саудовский «Аль-Ахли». Впрочем, звёздный аргентинец не поедет в лигу Криштиану Роналду. Об этом сообщил в социальных сетях известный журналист Гильем Балаге, биограф Месси. Информацию о Месси и «Аль-Ахли» Балаге назвал фейковой. Журналист отметил, что 38-летний футболист не контактировал с клубами из Саудовской Аравии. Балаге подчеркнул, что Месси продолжает переговоры с «Интер Майами» о продлении контракта. Также Балаге сделал прогноз – Месси продлит контракт с клубом МЛС и выступит за Аргентину на чемпионате мира следующим летом.;Спорт
В декабре прошлого года в Китае был впервые выявлен новый тип коронавируса, который получил название COVID-19. Вирус начал быстро распространяться по планете и 11 марта 2020 года ВОЗ объявила о начале пандемии коронавируса. COVID-19 опасен тем, что быстро попадает в дыхательные пути и вызывает тяжелую пневмонию. В группе риска пожилые люди в возрасте 65 лет и старше, страдающие хроническими заболеваниями. Специфических методов лечения и профилактики коронавируса нет, поэтому ВОЗ рекомендует придерживаться стандартных мер профилактики, которые актуальны во время эпидемии обычного гриппа.;Здоровье
Количество стобалльников подсчитали в России. Получить высший балл по ЕГЭ смогли 6 820 выпускников. Только 13 сумели получить по 300 баллов, а 200 баллов набрал 331 учащийся. Только одна девочка смогла сдать экзамены на 400 баллов, пишут «Известия» со ссылкой на главу Рособрандзора Анзора Музаева. Чиновник отметил, что в целом результаты экзаменов не демонстрируют ни резкого падения, ни взлета по сравнению с предыдущими годами. В этом году многие выбрали ЕГЭ по естественно-научным предметам. Также фиксировался рост учеников, которые получили за ЕГЭ от 60 баллов.;Образование
"Сильная гроза, град и проливной дождь придут в Москву через несколько часов — об этом предупредили в МЧС.
Погодный апокалипсис начнётся около 13:00 и продлится до ночи. Жителям советуют быть осторожными на улице и не ставить машины рядом с деревьями. При этом ожидается жара до +30°C, а порывы ветра достигнут 17 метров в секунду.";Другое
И снова на связи зажиточная Абхазия, которую объедают жадные русские. Директор, здесь не смеяться, абхазского Фонда Кино назвал российских туристов угрозой национальной безопасности республики, которая только милостью добрых русских людей и существует. Александр Басария призвал отказаться от российских туристов, которые покупают дешевые путевки и экономят на отдыхе. По его мнению, туристы, которые не хотят посещать рестораны, клубы, вечеринки и экскурсии, представляют угрозу национальной и экономической безопасности республики, поскольку из-за них малый бизнес терпит убытки. Очередная иллюстрация, к чему приводят все эти субсидии и дотации различных ничтожеств. Вот и делай после этого людям добро.;Новости и политика
"Лабубу ВСЁ: на их место пришли Вакуку — пушистые и монобровные «воины джунглей» из Китая.
Новая игрушка взорвала соцсети и исчезла с прилавков за пару часов — зумеры массово выбирают «милую уродливость» как способ сказать «нет» навязанным идеалам красоты.";Развлечения
